"","Species","taxon","male_mass","female_mass","male_wing","female_wing","male_tarsus","female_tarsus","male_bill","female_bill","female","male","family","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Kipps.Distance","Hand-Wing.Index","Tail.Length","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","min_elev","max_elev","species","mean_hct_female","mean_hct_male","sd_hct_female","sd_hct_male","mean_hb_female","mean_hb_male","sd_hb_female","sd_hb_male","SSDI_hct","SSDI_hb","max_sample_elev","mean_sample_elev","min_sample_elev","SSDI_mass","SSDI_bill","SSDI_wing","SSDI_tarsus"
"69","Accipiter rufitorques","Accipiter rufitorques",209,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",26,15.4,10.3,13.7,59.2,73.5,34.1,146,"Forest",1,1,"Carnivore","Vertivore",-19.2,-16.15,-17.45,169.39,17581.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Accipiter luteoschistaceus","Accipiter luteoschistaceus",214,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",26.4,16.8,7.8,11.9,51.5,57,30.3,146,"Forest",1,1,"Carnivore","Vertivore",-6.31,-4.19,-5.5,150.45,28814.74,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Accipiter imitator","Accipiter imitator",208,238,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",26.4,16.8,9.1,12.2,49.6,60,30,161,"Forest",1,1,"Carnivore","Vertivore",-8.58,-5.41,-6.76,156.47,10050.21,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.126050420168067,NA,NA,NA
"72","Accipiter poliocephalus","Accipiter poliocephalus",205,225,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",25,15.4,10.1,13.7,60.3,67.8,32.1,157.2,"Forest",1,1,"Carnivore","Vertivore",-11.66,0.04,-5.32,140.74,671500.51,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0888888888888889,NA,NA,NA
"73","Accipiter superciliosus","Accipiter superciliosus",73.9,134,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",19.4,10.8,6.7,10.4,37.4,38.6,26.9,104.6,"Forest",1,1,"Carnivore","Vertivore",-28.11,14.61,-6.22,-60.98,8560355.56,0,1800,"Accipiter superciliosus",NA,0.531162691,NA,NA,NA,17.1,NA,NA,NA,NA,1226,1226,1226,-0.448507462686567,NA,NA,NA
"74","Accipiter erythropus","Accipiter erythropus",84.7,146,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",17.6,9.7,7.2,9.6,43,40.9,27.1,104.4,"Forest",1,1,"Carnivore","Vertivore",-9.36,14.73,3.48,10.44,3904812.09,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41986301369863,NA,NA,NA
"75","Accipiter minullus","Accipiter minullus",75.7,101,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",16.5,9.2,6.6,8.8,41.3,44.6,29.6,105.2,"Forest",1,1,"Carnivore","Vertivore",-34.84,17.8,-9.71,29.57,6794381.58,0,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.25049504950495,NA,NA,NA
"76","Accipiter gularis","Accipiter gularis",104,140,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",23.3,9.5,6.6,9.1,43.6,54.2,33.2,106.4,"Forest",1,3,"Carnivore","Vertivore",24.25,59,49.07,117.11,4785704.92,0,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.257142857142857,NA,NA,NA
"77","Accipiter virgatus","Accipiter virgatus",100,143,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",21.2,11.7,7.6,10.2,49.8,46.7,27.4,123.9,"Forest",1,2,"Carnivore","Vertivore",-8.98,35.61,22.08,101.25,4398429.71,0,3300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.300699300699301,NA,NA,NA
"78","Accipiter virgatus confusus","Accipiter virgatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",21.2,11.7,7.6,10.2,49.8,46.7,27.4,123.9,"Forest",1,2,"Carnivore","Vertivore",-8.98,35.61,22.08,101.25,4398429.71,0,3300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Accipiter virgatus affinis","Accipiter virgatus",112,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",21.2,11.7,7.6,10.2,49.8,46.7,27.4,123.9,"Forest",1,2,"Carnivore","Vertivore",-8.98,35.61,22.08,101.25,4398429.71,0,3300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Accipiter erythrauchen","Accipiter erythrauchen",156,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",21.1,12.2,8.6,11.2,59.5,58.9,30.8,154.8,"Forest",1,1,"Carnivore","Vertivore",-3.91,2.65,-1.32,128.19,48150.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Accipiter cirrocephalus","Accipiter cirrocephalus",126,218,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",19.2,10.6,7.7,9.6,60.3,81.3,37.8,155.4,"Forest",1,2,"Carnivore","Vertivore",-43.64,0.04,-23.36,137.81,5488639.45,0,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.422018348623853,NA,NA,NA
"82","Accipiter brachyurus","Accipiter brachyurus",142,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",22.5,14,8.9,11.9,61.2,64.1,31.7,140.8,"Forest",1,2,"Carnivore","Vertivore",-6.31,-4.08,-5.45,150.68,35580.71,1200,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Accipiter rhodogaster","Accipiter rhodogaster",113,264,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",20.5,11.8,7.9,10.8,53.4,51.6,29.7,125.8,"Forest",1,1,"Carnivore","Vertivore",-5.7,1.76,-1.93,121.39,146036.85,0,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.571969696969697,NA,NA,NA
"84","Accipiter madagascariensis","Accipiter madagascariensis",158,206,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",19.7,10.7,7.4,9.4,58,54.5,28.7,149.5,"Forest",1,1,"Carnivore","Vertivore",-25.61,-11.95,-19.43,46.69,476517.51,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.233009708737864,NA,NA,NA
"85","Accipiter nisus","Accipiter nisus",150,325,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",19.6,11.4,8.4,10,53.6,74.2,35.5,155.5,"Forest",1,2,"Carnivore","Vertivore",26.9,70.53,54.67,77.29,23601609.31,0,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.538461538461538,NA,NA,NA
"86","Accipiter striatus","Accipiter striatus",103,174,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",19.4,10.5,8.7,10.4,49.8,60,32.5,144.2,"Forest",1,3,"Carnivore","Vertivore",NA,NA,NA,NA,NA,0,3500,"Accipiter striatus",0.438342318,0.471727105,NA,NA,13.8,NA,NA,NA,0.0761614510602647,NA,1777,1761.5,1746,-0.408045977011494,NA,NA,NA
"87","Accipiter striatus venator","Accipiter striatus",94.9,171,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",19.4,10.5,8.7,10.4,49.8,60,32.5,144.2,"Forest",1,3,"Carnivore","Vertivore",NA,NA,NA,NA,NA,0,3500,"Accipiter striatus",0.438342318,0.471727105,NA,NA,13.8,NA,NA,NA,0.0761614510602647,NA,1777,1761.5,1746,-0.445029239766082,NA,NA,NA
"88","Accipiter ventralis","Accipiter ventralis",NA,233,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",18.4,9.9,6.5,9.3,50.7,52.8,28.8,126.4,"Forest",1,3,"Carnivore","Vertivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Accipiter erythronemius","Accipiter erythronemius",NA,125,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",17.6,9.4,6.6,8.3,46.8,53.2,29,131.6,"Forest",1,3,"Carnivore","Vertivore",NA,NA,NA,NA,NA,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Accipiter cooperii","Accipiter cooperii",349,529,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",25.4,13.9,8.6,13.2,62,77.8,32.3,188.4,"Woodland",2,3,"Carnivore","Vertivore",23.28,53.31,41.25,-100.49,8393137.06,0,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.340264650283554,NA,NA,NA
"91","Accipiter gundlachi","Accipiter gundlachi",NA,675,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",26,15.2,8.3,16.3,71.3,61.8,27.1,223,"Forest",1,1,"Carnivore","Vertivore",19.82,23.16,21.62,-79.36,33511.43,0,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Accipiter bicolor","Accipiter bicolor",212,390,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",26.5,14.8,9.2,13.5,57.5,46.4,19.8,188.4,"Woodland",2,2,"Carnivore","Vertivore",NA,NA,NA,NA,NA,0,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.456410256410256,NA,NA,NA
"93","Accipiter chilensis","Accipiter chilensis",NA,368,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",23.2,12.6,8,11.8,58.8,69.2,30.6,183.8,"Woodland",2,2,"Carnivore","Vertivore",NA,NA,NA,NA,NA,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Accipiter henstii","Accipiter henstii",NA,1050,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",32.6,18.1,11.8,17.2,75,78,27,245,"Forest",1,1,"Carnivore","Vertivore",-25.2,-11.95,-18.72,46.85,434639.7,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Accipiter gentilis","Accipiter gentilis",912,1137,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",33.7,19.6,11.6,18,67.3,122.6,36.3,241.1,"Forest",1,2,"Carnivore","Vertivore",17.1,70.39,54.91,19.06,31775270.74,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.197889182058047,NA,NA,NA
"96","Accipiter gentilis apache","Accipiter gentilis",704,986,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",33.7,19.6,11.6,18,67.3,122.6,36.3,241.1,"Forest",1,2,"Carnivore","Vertivore",17.1,70.39,54.91,19.06,31775270.74,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.286004056795132,NA,NA,NA
"97","Accipiter gentilis schvedowi","Accipiter gentilis",501,1170,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",33.7,19.6,11.6,18,67.3,122.6,36.3,241.1,"Forest",1,2,"Carnivore","Vertivore",17.1,70.39,54.91,19.06,31775270.74,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.571794871794872,NA,NA,NA
"98","Accipiter meyerianus","Accipiter meyerianus",530,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",35,20.6,12.6,18.6,75.4,102,33,200,"Forest",1,1,"Carnivore","Vertivore",-10.12,2.29,-4.7,141.36,269144.41,0,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Erythrotriorchis buergersi","Erythrotriorchis buergersi",575,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",33.7,20.3,12.8,18.2,75.2,105.5,34,238.7,"Forest",1,1,"Carnivore","Vertivore",-10.48,-2.39,-5.51,142.42,152406.32,450,1580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Erythrotriorchis radiatus","Erythrotriorchis radiatus",635,1240,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",34.8,20.7,11.9,17.4,74.5,161.8,41.8,250,"Forest",1,1,"Carnivore","Vertivore",-29.57,-11.12,-17.74,138.86,1074830.71,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.487903225806452,NA,NA,NA
"101","Megatriorchis doriae","Megatriorchis doriae",NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",35.1,19.9,11.6,16.7,80,75.6,26,257.5,"Forest",1,1,"Carnivore","Vertivore",-10.73,-0.34,-5.34,141.12,599836.92,0,1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Urotriorchis macrourus","Urotriorchis macrourus",492,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",35.4,19.6,13.3,16.5,78.9,68.2,23.8,373.8,"Forest",1,1,"Carnivore","Vertivore",-8.84,8.7,1.17,15.06,3073602.25,0,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Butastur rufipennis","Butastur rufipennis",326,344,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",28.7,16.3,10.3,12.3,58.4,143.5,45.8,181.4,"Woodland",3,1,"Carnivore","Invertivore",-6.49,19.11,12.64,11.75,3625177.22,0,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0523255813953488,NA,NA,NA
"104","Butastur indicus","Butastur indicus",397,433,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",40.5,18.4,10.4,14.5,53.4,155.1,46.9,191.8,"Woodland",2,3,"Carnivore","Vertivore",30.99,52.35,44.31,129.81,1828306.34,0,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0831408775981524,NA,NA,NA
"105","Geranospiza caerulescens","Geranospiza caerulescens",279,328,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",25.9,16.5,9.6,12.9,71.7,65.1,24.4,211.4,"Woodland",2,1,"Carnivore","Vertivore",-33.91,28.85,-6.64,-60.96,14333669.12,0,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.149390243902439,NA,NA,NA
"106","Leucopternis schistaceus","Leucopternis schistaceus",NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",35.5,22.6,12.6,18.1,75.7,70,25.5,173.2,"Forest",1,1,"Carnivore","Vertivore",-17.91,4.95,-5.46,-66.17,3642728.14,0,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Leucopternis princeps","Leucopternis princeps",NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",43.5,28.6,13.8,20.4,86.5,107.4,29.5,192.7,"Forest",1,1,"Carnivore","Vertivore",-4.51,10.99,3.02,-78.75,113390.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Leucopternis melanops","Leucopternis melanops",312,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",29.6,18.3,11.1,15.3,56.5,60.5,28.9,130,"Forest",1,1,"Carnivore","Vertivore",-4.35,8.65,1.4,-62.88,2570861.92,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Leucopternis kuhli","Leucopternis kuhli",322,385,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",30.4,18.3,11.4,15,56.2,54.5,25.8,148.6,"Forest",1,1,"Carnivore","Vertivore",-15.21,-0.54,-7.38,-63.49,2375316.62,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.163636363636364,NA,NA,NA
"110","Leucopternis semiplumbeus","Leucopternis semiplumbeus",250,325,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",28.8,17.1,9.7,14.9,53.8,47.7,24.6,123.8,"Forest",1,1,"Carnivore","Vertivore",-0.54,14.87,8.38,-79.78,236308.06,0,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.230769230769231,NA,NA,NA
"111","Leucopternis albicollis","Leucopternis albicollis",619,800,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",38.8,24.8,14.2,19.6,82.9,93.2,25.4,216.8,"Forest",1,1,"Carnivore","Vertivore",-19.87,18.86,-3.96,-63.68,8478535.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.22625,NA,NA,NA
"112","Leucopternis occidentalis","Leucopternis occidentalis",NA,660,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",36,22.9,12.4,18.5,76.2,97.8,28.2,192,"Forest",1,1,"Carnivore","Vertivore",-4.38,0.91,-3.58,-79.86,6586.81,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Buteogallus aequinoctialis","Buteogallus aequinoctialis",610,709,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",36.1,23.3,11.2,16,73.3,78.8,24.9,147.2,"Woodland",2,1,"Carnivore","Aquatic predator",-25.99,10.72,-3.65,-47.36,132570.12,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.139633286318759,NA,NA,NA
"114","Buteogallus anthracinus","Buteogallus anthracinus",793,1199,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",39.6,25.1,12.9,17.5,78.6,106,30.7,206.2,"Woodland",2,1,"Carnivore","Aquatic predator",-3.68,34.7,18.62,-93.02,1898078.97,0,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.33861551292744,NA,NA,NA
"115","Buteogallus gundlachi","Buteogallus gundlachi",673,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.15875,NA,NA,NA
"116","Buteogallus urubitinga","Buteogallus urubitinga",1065,1248,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",46,29.2,14.6,21.9,118.4,87.3,22,255.6,"Woodland",2,1,"Carnivore","Vertivore",-35.14,28.11,-7.52,-61.52,13126253.65,0,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.146634615384615,NA,NA,NA
"117","Parabuteo unicinctus","Parabuteo unicinctus",707.5,1022.5,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",34.4,21.4,11.4,16.6,81.6,99.8,30.8,222,"Shrubland",2,2,"Carnivore","Vertivore",-43.93,34.37,-10.52,-65.99,9015595.35,0,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.308068459657702,NA,NA,NA
"118","Busarellus nigricollis","Busarellus nigricollis",614,956,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",40.8,27.1,12.5,17.6,76.1,105.9,27,199.8,"Forest",1,1,"Carnivore","Aquatic predator",-34.19,23.94,-7.16,-59.48,12825637.87,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.357740585774059,NA,NA,NA
"119","Geranoaetus melanoleucus","Geranoaetus melanoleucus",1919.5,2751,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",50.5,31,15.4,23,98.2,182.8,36.6,210.5,"Shrubland",2,1,"Carnivore","Vertivore",-55.98,9.54,-27.4,-60.94,6807951.84,0,4600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.302253725917848,NA,NA,NA
"120","australis","australis",NA,3200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Buteo nitidus","Buteo nitidus",429,628,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",31.6,19.3,11.3,15.9,69.3,76.2,28.8,167.7,"Forest",1,1,"Carnivore","Vertivore",-27.61,33.17,-3.27,-62.64,11845064.35,0,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.31687898089172,NA,NA,NA
"122","Buteo lineatus lineatus","Buteo lineatus",544,670,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",33.1,20.3,11.8,16.3,74.1,106.9,33.4,172.8,"Woodland",1,3,"Carnivore","Vertivore",24.95,47.85,37.72,-86.88,3542030.5,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.188059701492537,NA,NA,NA
"123","Buteo platypterus","Buteo platypterus",420,490,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",28.3,17.8,11.1,14.4,53.4,103.7,36.9,178.8,"Forest",2,3,"Carnivore","Vertivore",11.13,55.3,42.9,-87.09,4864047.78,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.142857142857143,NA,NA,NA
"124","Buteo leucorrhous","Buteo leucorrhous",290,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",29,17,9.8,14.2,62.6,65.5,27.3,171.6,"Forest",1,1,"Carnivore","Vertivore",-29.69,11.14,-18.54,-56.7,1189248.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Buteo brachyurus","Buteo brachyurus",422,583,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",31.1,17,10.4,14.9,53.8,90,29.7,171,"Forest",1,1,"Carnivore","Vertivore",-30.69,29.85,-5.09,-62.04,14372802.04,0,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.276157804459691,NA,NA,NA
"126","Buteo swainsoni","Buteo swainsoni",808,1109,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",35.3,21,13.6,16.6,60.7,175.2,46.6,193.6,"Grassland",3,3,"Carnivore","Vertivore",24.73,57.08,40.95,-107.07,4303055.16,0,2290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.27141568981064,NA,NA,NA
"127","Buteo albicaudatus","Buteo albicaudatus",844,928,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",37.4,22.3,13.8,16.4,87.3,148.1,34.8,199,"Grassland",3,1,"Carnivore","Vertivore",-40.32,29.69,-11.82,-58.97,9466789.11,0,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0905172413793103,NA,NA,NA
"128","Buteo galapagoensis","Buteo galapagoensis",961.333333333333,1365.33333333333,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",40.9,26,13.9,19.3,77,176.8,43.6,235.2,"Woodland",1,1,"Carnivore","Vertivore",-1.41,0.65,-0.44,-91.13,5639.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2958984375,NA,NA,NA
"129","Buteo polyosoma","Buteo polyosoma",696,880,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",36.3,21.1,13,18.3,83.4,153.3,38.1,192.8,"Shrubland",2,2,"Carnivore","Vertivore",-55.98,6.3,-31.98,-70.13,3165493.22,0,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.209090909090909,NA,NA,NA
"130","Buteo poecilochrous","Buteo poecilochrous",840,1168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.280821917808219,NA,NA,NA
"131","Buteo albonotatus","Buteo albonotatus",628,886,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",35.1,21.1,12.7,16.9,70.4,159.7,40.3,217,"Forest",1,1,"Carnivore","Vertivore",-28.09,36.47,0.47,-69.62,7192504.19,0,2800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.291196388261851,NA,NA,NA
"132","Buteo solitarius","Buteo solitarius",414,606,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",31.8,20.4,13.2,15.9,72.7,92.3,34.1,160.5,"Forest",1,1,"Carnivore","Vertivore",18.99,20.27,19.6,-155.53,6957.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.316831683168317,NA,NA,NA
"133","Buteo jamaicensis","Buteo jamaicensis",1028,1224,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",37.6,22.9,14.4,20.2,80.9,139.9,34.1,212.2,"Woodland",2,3,"Carnivore","Vertivore",8.36,68.66,45.5,-105.33,15462822.34,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.160130718954248,NA,NA,NA
"134","Buteo jamaicensis calurus","Buteo jamaicensis",923,1266,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",37.6,22.9,14.4,20.2,80.9,139.9,34.1,212.2,"Woodland",2,3,"Carnivore","Vertivore",8.36,68.66,45.5,-105.33,15462822.34,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.270932069510269,NA,NA,NA
"135","Buteo ventralis","Buteo ventralis",1103,1285,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",37.2,23.2,13,19,76.8,118.4,33,221.5,"Forest",1,2,"Carnivore","Vertivore",-55.92,-35.01,-47.95,-71.73,536992.07,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.141634241245136,NA,NA,NA
"136","Buteo buteo","Buteo buteo",781,969,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",35.6,21.1,12.5,16.6,75.7,143.8,38.2,204.1,"Grassland",3,2,"Carnivore","Vertivore",12.3,67.81,52.89,64.71,16600070.45,0,3600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.194014447884417,NA,NA,NA
